From Date,To Date,T,TM,Tm,SLP,H,PP,VV,V,VM
23-may-2017-00:00,24-may-2017-00:00,33.4,38,23.3,1003.2,40,0,3.2,5.7,18.3,
24-may-2017-00:00,25-may-2017-00:00,35.4,41,26.6,1001.6,40,0,3.1,7,14.8,
25-may-2017-00:00,26-may-2017-00:00,36.4,41.6,28.5,999.1,36,0,3.4,4.3,11.1,
26-may-2017-00:00,27-may-2017-00:00,37.8,44,29,997.3,33,0,3.1,8.3,22.2,
27-may-2017-00:00,28-may-2017-00:00,35.3,43.9,29.3,998,46,0,3.9,13.3,18.3,
28-may-2017-00:00,29-may-2017-00:00,31.7,40.5,22.5,998.6,57,-,3.4,11.7,28.7,
29-may-2017-00:00,30-may-2017-00:00,28.9,36.3,22.7,-,69,-,3.5,10.9,40.7,
30-may-2017-00:00,31-may-2017-00:00,32.4,37,22,997.3,52,0,3.7,5.2,9.4,
31-may-2017-00:00,32-may-2017-00:00,29.4,37,26,1000.2,69,-,2.9,9.4,20.6,
1-june-2017-00:00,2-june-2017-00:00,32.9,37,24.9,1000.7,52,0,2.4,5,14.8,
2-june-2017-00:00,3-june-2017-00:00,34.9,40,26,999.4,38,0,2.6,6.7,13,
3-june-2017-00:00,4-june-2017-00:00,37.3,42.5,28.7,996.6,32,0,3.4,12.2,35.2,
4-june-2017-00:00,5-june-2017-00:00,39.8,45,30.4,996.2,24,0,3.5,15.4,25.9,
5-june-2017-00:00,6-june-2017-00:00,39.9,45,33.6,-,30,0,3.2,15.2,29.4,
6-june-2017-00:00,7-june-2017-00:00,37.9,44.6,30,1000.5,38,0,3.1,16.9,29.4,
7-june-2017-00:00,8-june-2017-00:00,31.7,43,26,1003.5,51,-,3.2,14.3,37,
16-oct-2017-00:00,17-oct-2017-00:00,27.2,36.5,19,1006,55,0,2.3,2.6,9.4,
17-oct-2017-00:00,18-oct-2017-00:00,26.6,35,18.4,1007.2,56,0,2.3,4.3,11.1,
18-oct-2017-00:00,19-oct-2017-00:00,27.4,34.5,18.7,1009.1,53,0,2.4,4.3,14.8,
19-oct-2017-00:00,20-oct-2017-00:00,28.5,36,19.4,1008.8,58,0,2.4,0.6,9.4,
20-oct-2017-00:00,21-oct-2017-00:00,27.8,36.3,20.5,1007.5,62,0,1.3,2,13,
21-oct-2017-00:00,22-oct-2017-00:00,25.9,35.3,18.4,1005.6,61,0,1.6,3.1,11.1,
22-oct-2017-00:00,23-oct-2017-00:00,27.7,36,18,1005.9,55,0,2.3,2.2,11.1,
23-oct-2017-00:00,24-oct-2017-00:00,27.8,36.5,18.8,-,52,0,2.3,0.2,3.5,
24-oct-2017-00:00,25-oct-2017-00:00,24.3,35.4,17.8,1010.9,61,0,1.9,3.5,14.8,
25-oct-2017-00:00,26-oct-2017-00:00,23.8,33,17,1013.7,63,0,1.6,2.6,7.6,
26-oct-2017-00:00,27-oct-2017-00:00,23.8,33.1,16.1,1014,67,0,1.9,0.7,5.4,
27-oct-2017-00:00,28-oct-2017-00:00,23.8,33.2,17.3,1012.8,69,0,1.8,0.7,5.4,
28-oct-2017-00:00,29-oct-2017-00:00,23.3,32.8,16.6,1013,69,0,1.8,0.4,3.5,
29-oct-2017-00:00,30-oct-2017-00:00,22.9,33.4,16.7,1015.3,73,0,1.8,0,-,
30-oct-2017-00:00,31-oct-2017-00:00,22.5,32.6,16.7,1014.9,78,0,1.4,0,-,
31-oct-2017-00:00,32-oct-2017-00:00,22.6,30,16.4,1013.3,77,0,1.1,0,-,
1-nov-2017-00:00,2-nov-2017-00:00,23.5,31.4,17.6,1014,72,0,1.6,1.7,9.4,
2-nov-2017-00:00,3-nov-2017-00:00,23.3,32,19.4,1012.9,79,0,1.3,2.6,9.4,
3-nov-2017-00:00,4-nov-2017-00:00,22.7,30.3,17.5,1013.5,78,0,1.1,0.4,3.5,
4-nov-2017-00:00,5-nov-2017-00:00,22.7,30.1,16.7,1015.7,76,0,1.1,2,9.4,
5-nov-2017-00:00,6-nov-2017-00:00,23.2,30.3,16,1015.4,72,0,1.4,0.6,3.5,
6-nov-2017-00:00,7-nov-2017-00:00,22.1,31,16.6,1014.6,71,0,1.4,2,9.4,
7-nov-2017-00:00,8-nov-2017-00:00,21.1,30,16,1014.4,73,0,0.6,1.9,11.1,
8-nov-2017-00:00,9-nov-2017-00:00,19.7,30.2,14,1014,82,0,0.3,0.4,3.5,
9-nov-2017-00:00,10-nov-2017-00:00,20.1,30.4,13.8,1013.2,71,0,0.5,0.9,7.6,
10-nov-2017-00:00,11-nov-2017-00:00,19.9,30.5,13,1014.2,72,0,0.8,0.7,5.4,
11-nov-2017-00:00,12-nov-2017-00:00,19.8,29.1,12.6,1014.8,74,0,1,0,-,
12-nov-2017-00:00,13-nov-2017-00:00,19.1,28.3,13,1012.3,78,0,0.5,0.7,5.4,
13-nov-2017-00:00,14-nov-2017-00:00,19.3,28.5,12.4,1010.9,74,0,0.6,0.4,3.5,
14-nov-2017-00:00,15-nov-2017-00:00,20.1,28.5,14.6,1011.2,73,0,0.8,1.9,7.6,
15-nov-2017-00:00,16-nov-2017-00:00,18.8,27.7,13.2,1012.4,76,0,1.1,0.6,-,
16-nov-2017-00:00,17-nov-2017-00:00,17.6,27.7,13.4,1014.2,78,0,1.3,1.3,5.4,
17-nov-2017-00:00,18-nov-2017-00:00,19.8,25.6,13.9,1014.4,69,-,1.8,5.6,13,
18-nov-2017-00:00,19-nov-2017-00:00,20.4,26.1,15.2,1014.9,72,0,1.3,2.6,3.5,
19-nov-2017-00:00,20-nov-2017-00:00,18.1,24.3,13.5,1016.5,60,0,1.8,5.6,14.8,
20-nov-2017-00:00,21-nov-2017-00:00,15.9,24.5,9.4,1017.3,58,0,1.4,3.9,11.1,
21-nov-2017-00:00,22-nov-2017-00:00,16,24.4,10.2,1015.1,59,0,1.8,5.2,18.3,
22-nov-2017-00:00,23-nov-2017-00:00,16.3,24.7,9.6,1014.1,53,0,2.1,5.9,14.8,
23-nov-2017-00:00,24-nov-2017-00:00,15.9,25.5,9.4,1014,60,0,2.1,3.7,13,
24-nov-2017-00:00,25-nov-2017-00:00,17.1,26.2,7.6,1015.3,53,0,2.6,4.4,14.8,
25-nov-2017-00:00,26-nov-2017-00:00,16.9,26.5,8.6,1016,57,0,1.9,3.5,9.4,
26-nov-2017-00:00,27-nov-2017-00:00,16.9,27.5,8.6,1016.7,63,0,1.6,1.1,9.4,
27-nov-2017-00:00,28-nov-2017-00:00,16.3,27.5,9,1013.9,63,0,1.9,5,13,
28-nov-2017-00:00,29-nov-2017-00:00,15.2,28.4,8.6,1014,69,0,1.9,1.7,11.1,
29-nov-2017-00:00,30-nov-2017-00:00,17.3,29.2,9,1015.5,70,0,1.9,0.4,3.5,
30-nov-2017-00:00,31-nov-2017-00:00,16.7,29.2,9.6,1015.7,66,0,1.8,1.5,11.1,
1-dec-2017-00:00,2-dec-2017-00:00,15.7,27.1,8.2,1015.7,66,0,1.6,1.7,13,
2-dec-2017-00:00,3-dec-2017-00:00,15.2,26,7.4,1017,65,0,1.6,0,-,
3-dec-2017-00:00,4-dec-2017-00:00,15.1,26.4,8,1016.6,72,0,1.3,0.7,5.4,
4-dec-2017-00:00,5-dec-2017-00:00,16.1,23.9,8.3,1014.9,70,0,1.4,0.4,3.5,
5-dec-2017-00:00,6-dec-2017-00:00,18.6,23.5,13.7,1014.7,68,0,1,4.3,11.1,
6-dec-2017-00:00,7-dec-2017-00:00,18.1,24,13.3,1014.4,56,0,1.9,4.6,11.1,
7-dec-2017-00:00,8-dec-2017-00:00,17.4,25,12,1015.7,47,-,1.9,6.1,22.2,
8-dec-2017-00:00,9-dec-2017-00:00,16.6,25.2,9.4,1015.4,52,0,1.9,6.7,22.2,
9-dec-2017-00:00,10-dec-2017-00:00,16.1,26.6,0.7,1015.3,60,0,1.9,1.7,9.4,
10-dec-2017-00:00,11-dec-2017-00:00,15.7,27.2,7.4,1015,69,0,1.4,0.4,3.5,
11-dec-2017-00:00,12-dec-2017-00:00,16.6,27.2,8.2,1013.8,77,-,1.6,3.1,9.4,
12-dec-2017-00:00,13-dec-2017-00:00,17.3,24.2,13.8,1015.7,86,0,1.3,3.9,14.8,
13-dec-2017-00:00,14-dec-2017-00:00,15.7,21.7,12,1018.2,85,0,1,3.3,7.6,
14-dec-2017-00:00,15-dec-2017-00:00,13.6,21.3,9.6,1020.1,83,0,0.8,4.8,11.1,
15-dec-2017-00:00,16-dec-2017-00:00,12.7,19.5,8,1021,78,0,1,6.1,11.1,
16-dec-2017-00:00,17-dec-2017-00:00,13.3,20.5,7.6,1021.5,72,0,1.4,10.9,22.2,
17-dec-2017-00:00,18-dec-2017-00:00,14.7,22.6,7.8,1021.1,62,0,1.9,13.1,18.3,
18-dec-2017-00:00,19-dec-2017-00:00,15.9,24.6,9.8,1019.7,62,0,1.9,8,14.8,
19-dec-2017-00:00,20-dec-2017-00:00,15.2,25.6,9.6,1019.9,70,0,1.4,4.4,9.4,
20-dec-2017-00:00,21-dec-2017-00:00,16.4,23.7,9.6,1020.6,82,0,0.5,2.8,9.4,
21-dec-2017-00:00,22-dec-2017-00:00,17.4,25,12,1020.8,76,0,0.8,1.3,9.4,
22-dec-2017-00:00,23-dec-2017-00:00,17.9,25.2,11,1018.2,61,0,1.4,10,18.3,
23-dec-2017-00:00,24-dec-2017-00:00,16.1,25.3,10.6,1015,65,0,3.1,6.7,16.5,
24-dec-2017-00:00,25-dec-2017-00:00,15.6,25.2,6.3,1015.9,67,0,1.3,0.7,5.4,
25-dec-2017-00:00,26-dec-2017-00:00,13.5,25.1,7,1017.8,79,0,1,3.9,13,
26-dec-2017-00:00,27-dec-2017-00:00,14.4,23.2,7.1,1017.7,74,0,1.3,2,7.6,
27-dec-2017-00:00,28-dec-2017-00:00,15.1,25,7.6,1017.1,71,0,1.3,3.5,13,
28-dec-2017-00:00,29-dec-2017-00:00,15.1,25.4,7,1016.7,70,0,1.4,2.2,13,
29-dec-2017-00:00,30-dec-2017-00:00,15.3,25.3,6.8,1017.4,67,0,1.1,2.6,11.1,
30-dec-2017-00:00,31-dec-2017-00:00,14.7,25.3,7.2,1017.3,74,0,1,0.6,3.5,
31-dec-2017-00:00,32-dec-2017-00:00,-,-,-,-,-,-,-,-,-,
1-jan-2018-00:00,2-jan-2018-00:00,12.2,23.9,5.7,1014.5,88,0,0.3,0.7,5.4,
2-jan-2018-00:00,3-jan-2018-00:00,11.8,20.1,8.4,1015.3,89,0,0.3,2.8,9.4,
3-jan-2018-00:00,4-jan-2018-00:00,11.3,18.2,6.7,1015.6,85,0,0.6,3.5,9.4,
4-jan-2018-00:00,5-jan-2018-00:00,12.2,20.2,5,1015.9,81,0,0.6,4.4,9.4,
5-jan-2018-00:00,6-jan-2018-00:00,11.6,17.6,7.6,1015,82,0,0.6,3.5,9.4,
6-jan-2018-00:00,7-jan-2018-00:00,11.4,20.8,4.2,1014.3,76,0,0.6,3.9,9.4,
7-jan-2018-00:00,8-jan-2018-00:00,13.2,20.8,6.4,1015.2,69,0,1.4,8.5,14.8,
8-jan-2018-00:00,9-jan-2018-00:00,12.1,20.7,5,1017.6,72,0,1.4,3.9,11.1,
9-jan-2018-00:00,10-jan-2018-00:00,12.2,21.7,4.2,1019.1,75,0,1.4,5.7,18.3,
10-jan-2018-00:00,11-jan-2018-00:00,14.8,23,6.8,1018.4,67,0,1.4,11.5,24.1,
11-jan-2018-00:00,12-jan-2018-00:00,14.4,23.4,8,1016.6,68,0,1.4,10.2,22.2,
12-jan-2018-00:00,13-jan-2018-00:00,14.6,22.7,8,1015.8,70,-,1.6,5.2,16.5,
13-jan-2018-00:00,14-jan-2018-00:00,13.6,23.7,5.5,1016.1,68,0,1.4,4.4,18.3,
14-jan-2018-00:00,15-jan-2018-00:00,14,23.7,5.7,1016.2,69,0,2.3,4.8,14.8,
15-jan-2018-00:00,16-jan-2018-00:00,14.7,25,6.4,1015.6,70,0,1.4,9.4,24.1,
16-jan-2018-00:00,17-jan-2018-00:00,16.1,24.5,9.1,1013.6,59,0,1.9,6.9,14.8,
17-jan-2018-00:00,18-jan-2018-00:00,13.6,25.5,5.6,1015.3,80,0,0.8,3.7,13,
18-jan-2018-00:00,19-jan-2018-00:00,16.1,27.2,7,1015.2,76,0,1,0.9,7.6,
19-jan-2018-00:00,20-jan-2018-00:00,15.8,24.2,9.5,1016,79,0,1,4.6,11.1,
20-jan-2018-00:00,21-jan-2018-00:00,14.2,24.9,8,1014.9,75,0,0.6,5,13,
21-jan-2018-00:00,22-jan-2018-00:00,13.9,25.2,5,1014.7,70,0,1.9,0.4,3.5,
22-jan-2018-00:00,23-jan-2018-00:00,15.5,25.8,5.9,1012.9,74,0,1.6,2.6,11.1,
23-jan-2018-00:00,24-jan-2018-00:00,12.7,25.2,9.4,1011.1,91,-,0.8,4.8,9.4,
24-jan-2018-00:00,25-jan-2018-00:00,13,18,7.4,1013.9,89,0,0.6,3.9,44.3,
25-jan-2018-00:00,26-jan-2018-00:00,12.5,18.9,8.8,1013.4,90,0,0.6,8.3,16.5,
26-jan-2018-00:00,27-jan-2018-00:00,12.1,18.4,7,1014.1,89,0,0.5,4.4,9.4,
27-jan-2018-00:00,28-jan-2018-00:00,13,20.2,8,1014.4,79,0,0.6,4.3,9.4,
28-jan-2018-00:00,29-jan-2018-00:00,13.5,21.7,6.4,1015,73,0,0.8,5.4,11.1,
29-jan-2018-00:00,30-jan-2018-00:00,14.3,23.4,7,1016.2,73,0,1.3,6.5,14.8,
30-jan-2018-00:00,31-jan-2018-00:00,16.9,26.4,9.8,1015,63,0,1.6,14.1,20.6,
31-jan-2018-00:00,32-jan-2018-00:00,17.2,26.9,9.9,1014.3,69,0,1.4,13,25.9,
1-feb-2018-00:00,2-feb-2018-00:00,18.7,27.2,11,1013.9,69,0,1.4,3,13,
2-feb-2018-00:00,3-feb-2018-00:00,17.7,27.8,10.5,1012.7,69,0,1.6,3.7,14.8,
3-feb-2018-00:00,4-feb-2018-00:00,16,26.5,9.3,1015.4,57,0,1.4,4.4,13,
4-feb-2018-00:00,5-feb-2018-00:00,14.4,24.6,9,1015.7,61,0,1.9,4.8,11.1,
5-feb-2018-00:00,6-feb-2018-00:00,15.1,23.7,6.3,1018.4,55,0,1.4,3.7,11.1,
6-feb-2018-00:00,7-feb-2018-00:00,16,22,11.4,1017.5,54,0,1.8,8.5,14.8,
7-feb-2018-00:00,8-feb-2018-00:00,15,23.6,8.5,1014.6,55,0,1.4,7.4,22.2,
8-feb-2018-00:00,9-feb-2018-00:00,13.9,24.1,5.5,1013.8,61,0,1.6,1.7,9.4,
9-feb-2018-00:00,10-feb-2018-00:00,14.6,24,6.1,1014.4,59,0,1.3,2.2,7.6,
10-feb-2018-00:00,11-feb-2018-00:00,14.2,24.4,6.1,1016.8,71,0,1.6,0,-,
11-feb-2018-00:00,12-feb-2018-00:00,17.4,25.6,8.5,1015.1,59,0,1.9,6.5,14.8,
12-feb-2018-00:00,13-feb-2018-00:00,16.4,25.4,13,1018.9,78,0,1.9,7.6,14.8,
13-feb-2018-00:00,14-feb-2018-00:00,16.4,23.4,9,1022.5,75,0,1.6,5.2,14.8,
14-feb-2018-00:00,15-feb-2018-00:00,16.4,23.5,10.2,1021.6,63,0,1.8,11.1,25.9,
15-feb-2018-00:00,16-feb-2018-00:00,17.5,23.4,11.6,1019.6,66,0,2.4,9.8,25.9,
16-feb-2018-00:00,17-feb-2018-00:00,17.7,24.8,11.2,1017.3,73,0,1.4,4.8,13,
17-feb-2018-00:00,18-feb-2018-00:00,18.4,25.4,12.6,1012.5,67,0,1.4,5.7,14.8,
18-feb-2018-00:00,19-feb-2018-00:00,16.9,26.4,12.2,1012.4,69,0,1.9,3.7,11.1,
19-feb-2018-00:00,20-feb-2018-00:00,18.1,26.6,10,1013.9,60,0,1.6,3.3,18.3,
20-feb-2018-00:00,21-feb-2018-00:00,19,28.2,10.1,1012.9,62,0,2.1,4.4,14.8,
21-feb-2018-00:00,22-feb-2018-00:00,21.5,31.2,12.5,1010.5,59,0,1.8,1.5,5.4,
22-feb-2018-00:00,23-feb-2018-00:00,22,31.7,14,1009.7,63,0,1.9,0.9,3.5,
23-feb-2018-00:00,24-feb-2018-00:00,22.8,32,15.5,1009.6,64,0,1.9,0.9,3.5,
24-feb-2018-00:00,25-feb-2018-00:00,23.9,31.1,17,1012.1,68,0,1.8,2.4,7.6,
25-feb-2018-00:00,26-feb-2018-00:00,22.5,31.6,17,1015.4,65,0,1.9,7.4,16.5,
26-feb-2018-00:00,27-feb-2018-00:00,21.1,29.4,14.5,1012.8,64,0,2.6,11.3,25.9,
27-feb-2018-00:00,28-feb-2018-00:00,22.3,29.8,15.4,1012.6,65,0,1.9,6.3,24.1,
28-feb-2018-00:00,29-feb-2018-00:00,22.9,30.2,15.4,1012.5,68,0,1.6,2,7.6,
1-mar-2018-00:00,2-mar-2018-00:00,21.7,30.7,14.9,1010.8,62,0,1.6,1.7,7.6,
2-mar-2018-00:00,3-mar-2018-00:00,22.9,31,15.5,1009,58,0,2.3,3.9,14.8,
3-mar-2018-00:00,4-mar-2018-00:00,24.1,32.3,16.6,1006.9,53,0,2.1,2,9.4,
4-mar-2018-00:00,5-mar-2018-00:00,22.6,33.1,17.3,1009.3,54,0,1.9,5,14.8,
5-mar-2018-00:00,6-mar-2018-00:00,22.2,31.7,14.5,1013.1,52,0,2.4,6.3,11.1,
6-mar-2018-00:00,7-mar-2018-00:00,21,28.8,14.8,1013.4,56,0,1.8,12.8,31.7,
7-mar-2018-00:00,8-mar-2018-00:00,21.8,29.4,14.7,1012.3,53,0,2.6,7.6,22.2,
8-mar-2018-00:00,9-mar-2018-00:00,22.6,31.6,13.3,1013.2,57,0,2.3,3.1,14.8,
9-mar-2018-00:00,10-mar-2018-00:00,23.4,32.2,14.8,1013.1,52,0,1.8,3.5,11.1,
10-mar-2018-00:00,11-mar-2018-00:00,23.9,32.2,16,1011.8,50,0,2.3,6.7,22.2,
11-mar-2018-00:00,12-mar-2018-00:00,23.6,32.6,16.5,1011.8,54,0,2.3,4.3,11.1,
12-mar-2018-00:00,13-mar-2018-00:00,24.8,34.4,16.4,1010.8,49,0,2.6,5.4,14.8,
13-mar-2018-00:00,14-mar-2018-00:00,25.9,35.6,17.1,1008.9,45,0,2.3,2.8,11.1,
14-mar-2018-00:00,15-mar-2018-00:00,24.8,36.2,17,1007.1,47,0,2.7,1.9,9.4,
15-mar-2018-00:00,16-mar-2018-00:00,25,34.1,17.2,1007.8,51,0,2.6,11.3,27.8,
16-mar-2018-00:00,17-mar-2018-00:00,24,32.4,16.8,1009.1,52,0,2.4,6.3,11.1,
17-mar-2018-00:00,18-mar-2018-00:00,24,31.2,17.5,1010.4,44,0,2.7,6.1,18.3,
18-mar-2018-00:00,19-mar-2018-00:00,23.5,31.6,14.6,1012.1,44,0,2.6,5,11.1,
19-mar-2018-00:00,20-mar-2018-00:00,24.6,34.4,15,1012.9,44,0,2.3,4.4,14.8,
20-mar-2018-00:00,21-mar-2018-00:00,26.1,35,16.5,1009.2,45,0,2.6,2.2,5.4,
21-mar-2018-00:00,22-mar-2018-00:00,26.1,35,21,1007.8,53,0,2.6,5.6,14.8,
22-mar-2018-00:00,23-mar-2018-00:00,24.8,33.2,18.5,1008.6,56,0,1.9,4.4,11.1,
23-mar-2018-00:00,24-mar-2018-00:00,24.1,31.1,18,1010.5,54,0,1.8,7.4,18.3,
24-mar-2018-00:00,25-mar-2018-00:00,25.4,31.6,18.3,1012.5,49,0,2.6,6.1,11.1,
25-mar-2018-00:00,26-mar-2018-00:00,25.7,32.3,18.5,1013.6,49,0,1.9,8.7,22.2,
26-mar-2018-00:00,27-mar-2018-00:00,26.3,33.6,19.5,1011,44,0,2.6,9.1,22.2,
27-mar-2018-00:00,28-mar-2018-00:00,27.1,36.8,17.3,1007.9,38,0,3.2,4.6,14.8,
28-mar-2018-00:00,29-mar-2018-00:00,28.8,38.6,17.6,1007,36,0,2.6,4.4,9.4,
29-mar-2018-00:00,30-mar-2018-00:00,27.8,38.6,19.6,1006.3,42,0,2.6,8.1,24.1,
30-mar-2018-00:00,31-mar-2018-00:00,27.9,36.1,20,1004.4,41,0,2.7,9.8,22.2,
31-mar-2018-00:00,32-mar-2018-00:00,26.9,36.2,20,1007.6,51,0,2.9,9.1,14.8,
1-apr-2018-00:00,2-apr-2018-00:00,27.8,34.8,20,1008.6,52,0,2.7,6.1,11.1,
2-apr-2018-00:00,3-apr-2018-00:00,27.6,36.2,20.8,1009,53,0,2.6,4.8,11.1,
3-apr-2018-00:00,4-apr-2018-00:00,29.4,38.2,21.4,1007.2,49,0,2.6,2.6,5.4,
4-apr-2018-00:00,5-apr-2018-00:00,30.2,38.6,23,1004.3,48,0,2.6,2.6,11.1,
5-apr-2018-00:00,6-apr-2018-00:00,30.4,39,23.2,1003.6,46,0,2.1,3.9,7.6,
6-apr-2018-00:00,7-apr-2018-00:00,27.8,37.6,21,1006.2,52,-,2.3,4.6,11.1,
7-apr-2018-00:00,8-apr-2018-00:00,27.9,36.6,19,1008.3,57,5.08,2.7,5.9,9.4,
8-apr-2018-00:00,9-apr-2018-00:00,29.4,35.6,23,1008.8,51,0,2.3,9.1,18.3,
9-apr-2018-00:00,10-apr-2018-00:00,25.2,36.3,20.2,1010.1,67,2.03,2.9,6.7,22.2,
10-apr-2018-00:00,11-apr-2018-00:00,28.4,35,21.4,1007.7,50,1.02,2.6,7,22.2,
11-apr-2018-00:00,12-apr-2018-00:00,26.6,35.5,23.6,1008.2,54,0,2.6,11.1,18.3,
12-apr-2018-00:00,13-apr-2018-00:00,26.8,33.4,17.6,1007.3,48,5.08,3.1,5.9,11.1,
13-apr-2018-00:00,14-apr-2018-00:00,25.8,34.4,18.2,1008.3,38,0,2.3,3,14.8,
14-apr-2018-00:00,15-apr-2018-00:00,28.1,36,18.2,1006.8,36,0,3.1,4.6,14.8,
15-apr-2018-00:00,16-apr-2018-00:00,30.1,38,20.5,1006,39,0,2.7,3.1,11.1,
16-apr-2018-00:00,17-apr-2018-00:00,30.8,39.4,22.4,1006.3,40,0,1.9,5.9,18.3,
17-apr-2018-00:00,18-apr-2018-00:00,31.4,40,23.3,1007.6,31,0,2.6,4.8,11.1,
18-apr-2018-00:00,19-apr-2018-00:00,32,38.6,23.7,1006.5,27,0,2.7,8,11.1,
19-apr-2018-00:00,20-apr-2018-00:00,31.1,39,23,1003,32,0,2.6,5,22.2,
20-apr-2018-00:00,21-apr-2018-00:00,32.7,39.4,24,1002.6,26,0,1.9,12.4,33.5,
21-apr-2018-00:00,22-apr-2018-00:00,29.2,39.5,24,1007.9,31,0,2.6,9.1,14.8,
22-apr-2018-00:00,23-apr-2018-00:00,28.6,34.4,21.2,1008.1,24,0,2.3,10.4,31.7,
23-apr-2018-00:00,24-apr-2018-00:00,29.2,35.4,22,1006.8,26,0,2.6,7.4,14.8,
24-apr-2018-00:00,25-apr-2018-00:00,29.8,37.8,20.5,1005.5,31,0,2.7,6.9,18.3,
25-apr-2018-00:00,26-apr-2018-00:00,31.7,41.4,20.8,1002.3,26,0,2.6,5.6,18.3,
26-apr-2018-00:00,27-apr-2018-00:00,33.2,41.6,25.5,1001.5,31,0,1.9,4.8,13,
27-apr-2018-00:00,28-apr-2018-00:00,32.4,42,26.4,1004.7,48,0,3.1,7,9.4,
28-apr-2018-00:00,29-apr-2018-00:00,33.3,39.2,28.4,1003.8,43,0,1.9,10.2,25.9,
29-apr-2018-00:00,30-apr-2018-00:00,32.4,39.6,26.2,1000.4,49,0,2.4,2,11.1,
30-apr-2018-00:00,31-apr-2018-00:00,33,40.4,25,999.8,43,1.02,2.3,6.3,14.8,
1-may-2018-00:00,2-may-2018-00:00,31.7,40,26.5,1003.4,52,0,2.7,10,14.8,
2-may-2018-00:00,3-may-2018-00:00,28.8,37.6,20.2,1004.7,59,12.95,1.6,13.7,31.3,
3-may-2018-00:00,4-may-2018-00:00,29.6,34.2,25,1005.8,52,0,1.9,10,14.8,
4-may-2018-00:00,5-may-2018-00:00,30.2,36.4,22.6,1005.2,59,5.08,2.7,7.4,14.8,
5-may-2018-00:00,6-may-2018-00:00,32.3,38.4,25.6,1004.3,49,0,2.7,4.3,9.4,
6-may-2018-00:00,7-may-2018-00:00,31.3,39.1,26.5,1005.4,42,0,1.9,8.7,22.2,
7-may-2018-00:00,8-may-2018-00:00,31.2,38,24,1003.2,40,0,1.9,11.7,37,
8-may-2018-00:00,9-may-2018-00:00,29.1,39.6,24.6,1004.3,43,0,1.8,7.4,22.2,
9-may-2018-00:00,10-may-2018-00:00,28.3,35.2,22.4,1006.1,57,0,1.9,3.3,11.1,
10-may-2018-00:00,11-may-2018-00:00,30.9,38.6,21.5,1006.2,43,0.76,1.9,3.9,9.4,
11-may-2018-00:00,12-may-2018-00:00,33.6,41,24.2,1002.5,37,0,2.3,3.5,11.1,
12-may-2018-00:00,13-may-2018-00:00,34.8,42.8,26.7,1002,47,0,1.9,6.7,13,
13-may-2018-00:00,14-may-2018-00:00,29.9,42.2,24.4,1003.5,56,7.87,1.8,12,31.3,
14-may-2018-00:00,15-may-2018-00:00,30.2,35.6,24,1004.6,53,0,2.6,6.7,9.4,
15-may-2018-00:00,16-may-2018-00:00,32.2,37.4,26.4,1002.2,54,0,2.7,5.2,16.5,
16-may-2018-00:00,17-may-2018-00:00,34.2,40,25,1001.6,34,0.25,2.7,3.9,9.4,
17-may-2018-00:00,18-may-2018-00:00,34.3,41.2,26.1,1001.6,33,0,2.3,2.2,11.1,
18-may-2018-00:00,19-may-2018-00:00,33.2,41.8,26.7,1001.4,40,0,1.9,3,14.8,
19-may-2018-00:00,20-may-2018-00:00,33.1,41.2,26.4,1001.7,40,0,1.9,4.4,14.8,
20-may-2018-00:00,21-may-2018-00:00,33.2,41.4,27,1002.8,33,0,2.6,3.1,14.8,
21-may-2018-00:00,22-may-2018-00:00,34.1,41.2,25.5,1002.9,26,0,2.7,5.9,16.5,
22-may-2018-00:00,23-may-2018-00:00,35,43,26.2,1002,30,0,3.1,3.7,9.4,
23-may-2018-00:00,24-may-2018-00:00,34.8,44,26.7,1000.3,37,0,1.9,2.4,7.6,
24-may-2018-00:00,25-may-2018-00:00,33.1,43,26.5,1000.2,39,0,2.6,2.6,9.4,
25-may-2018-00:00,26-may-2018-00:00,34.5,43,23.8,1000.1,25,0,2.7,6.5,22.2,
26-may-2018-00:00,27-may-2018-00:00,34.5,44,24.5,998.9,27,0,1.9,4.4,18.3,
27-may-2018-00:00,28-may-2018-00:00,36.1,45,26.3,998.1,24,0,2.7,8.7,25.9,
28-may-2018-00:00,29-may-2018-00:00,35.5,44.2,27.2,996.6,35,0,2.9,3.5,9.4,
29-may-2018-00:00,30-may-2018-00:00,37.8,44,25.9,996.3,30,0,3.5,7.6,14.8,
30-may-2018-00:00,31-may-2018-00:00,34.5,44.4,29.6,997.6,48,0,2.6,10.2,20.6,
31-may-2018-00:00,32-may-2018-00:00,35.9,42,29.4,999.7,46,0,2.7,7,14.8,
1-june-2018-00:00,2-june-2018-00:00,34.6,42.1,28.4,1000.7,50,0,2.6,12.8,33.5,
2-june-2018-00:00,3-june-2018-00:00,32.3,42,26.6,1001.6,53,0,2.7,12,18.3,
3-june-2018-00:00,4-june-2018-00:00,34,39.2,27.7,998.6,56,0,2.6,9.6,14.8,
4-june-2018-00:00,5-june-2018-00:00,35.9,41,30.4,998.2,51,0,2.7,11.1,14.8,
5-june-2018-00:00,6-june-2018-00:00,36.3,41.7,31.2,1000.7,52,0,2.6,10.7,14.8,
6-june-2018-00:00,7-june-2018-00:00,33,41.6,28.5,1001.9,64,0,2.6,11.7,22.2,
