From Date,To Date,PM10 (ug/m3),PM2.5 (ug/m3),CO (mg/m3),NH3 (ug/m3),NO2 (ug/m3),Ozone (ug/m3),SO2 (ug/m3),Air_Quality_Index(AQI),AQI Category
20-Feb-2017 - 00:00,21-Feb-2017 - 00:00,601.65,124.32,3.6,97.24,113.06,23.22,37.4,500,4
21-Feb-2017 - 00:00,22-Feb-2017 - 00:00,389.25,124.32,2.31,112.35,108.81,10.58,25.3,348,4
22-Feb-2017 - 00:00,23-Feb-2017 - 00:00,382.6,124.32,2.67,79.09,120.78,22.37,27.72,339,4
23-Feb-2017 - 00:00,24-Feb-2017 - 00:00,230.21,124.32,1.31,69.78,108.27,10.12,22.78,303,4
24-Feb-2017 - 00:00,25-Feb-2017 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
25-Feb-2017 - 00:00,26-Feb-2017 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
26-Feb-2017 - 00:00,27-Feb-2017 - 00:00,300.97,124.32,2.61,47.41,130.48,9.42,26.36,303,4
27-Feb-2017 - 00:00,28-Feb-2017 - 00:00,360.66,124.32,2.81,61.33,123.26,9.91,25.25,312,4
28-Feb-2017 - 00:00,01-Mar-2017 - 00:00,675.14,124.32,3.8,79.81,143.51,34.9,29.69,500,4
01-Mar-2017 - 00:00,02-Mar-2017 - 00:00,447.13,124.32,3.97,83.98,111.09,46.34,30.23,500,4
02-Mar-2017 - 00:00,03-Mar-2017 - 00:00,354.27,124.32,1.69,84.27,99.13,19.72,37.97,304,4
03-Mar-2017 - 00:00,04-Mar-2017 - 00:00,226.62,124.32,2.04,60.91,94.7,12.59,27.39,303,4
04-Mar-2017 - 00:00,05-Mar-2017 - 00:00,231.17,124.32,2.02,54.54,98.45,13.65,24.13,303,4
05-Mar-2017 - 00:00,06-Mar-2017 - 00:00,286.08,124.32,2.34,45.12,100.19,14.96,24.65,303,4
06-Mar-2017 - 00:00,07-Mar-2017 - 00:00,321.86,124.32,2.78,45.27,108.0,13.38,25.67,303,4
07-Mar-2017 - 00:00,08-Mar-2017 - 00:00,485.31,124.32,3.64,48.81,108.62,22.11,40.4,500,4
08-Mar-2017 - 00:00,09-Mar-2017 - 00:00,284.59,124.32,3.2,44.15,64.33,16.76,24.76,303,4
09-Mar-2017 - 00:00,10-Mar-2017 - 00:00,392.86,124.32,2.01,51.99,82.32,9.4,18.98,352,4
10-Mar-2017 - 00:00,11-Mar-2017 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
11-Mar-2017 - 00:00,12-Mar-2017 - 00:00,180.58,124.32,2.01,51.99,82.32,44.32,26.83,303,4
12-Mar-2017 - 00:00,13-Mar-2017 - 00:00,248.93,124.32,2.01,51.99,82.32,37.11,25.32,303,4
13-Mar-2017 - 00:00,14-Mar-2017 - 00:00,273.9,124.32,2.01,51.99,82.32,14.58,23.77,303,4
14-Mar-2017 - 00:00,15-Mar-2017 - 00:00,876.14,124.32,2.01,51.99,82.32,21.01,31.33,500,4
15-Mar-2017 - 00:00,16-Mar-2017 - 00:00,761.04,124.32,2.01,51.99,82.32,15.6,31.47,500,4
16-Mar-2017 - 00:00,17-Mar-2017 - 00:00,645.26,124.32,1.87,51.99,82.32,16.24,28.39,500,4
17-Mar-2017 - 00:00,18-Mar-2017 - 00:00,447.28,124.32,1.68,51.99,82.32,12.6,26.61,500,4
18-Mar-2017 - 00:00,19-Mar-2017 - 00:00,429.66,124.32,1.81,51.99,82.32,12.19,28.84,398,4
19-Mar-2017 - 00:00,20-Mar-2017 - 00:00,692.54,124.32,2.22,51.99,82.32,16.63,34.97,500,4
20-Mar-2017 - 00:00,21-Mar-2017 - 00:00,640.13,124.32,2.09,51.99,82.32,13.82,26.77,500,4
21-Mar-2017 - 00:00,22-Mar-2017 - 00:00,758.64,124.32,2.21,51.99,82.32,13.65,27.41,500,4
22-Mar-2017 - 00:00,23-Mar-2017 - 00:00,655.74,124.32,2.1,51.99,82.32,14.77,30.38,500,4
23-Mar-2017 - 00:00,24-Mar-2017 - 00:00,645.14,124.32,2.12,51.99,82.32,19.22,35.91,500,4
24-Mar-2017 - 00:00,25-Mar-2017 - 00:00,391.5,124.32,1.75,162.41,307.84,14.09,33.69,351,4
25-Mar-2017 - 00:00,26-Mar-2017 - 00:00,372.41,124.32,1.49,80.7,146.59,12.18,28.11,327,4
26-Mar-2017 - 00:00,27-Mar-2017 - 00:00,353.41,124.32,1.5,75.49,138.46,12.19,27.57,303,4
27-Mar-2017 - 00:00,28-Mar-2017 - 00:00,299.68,124.32,1.54,78.17,134.25,11.8,30.79,303,4
28-Mar-2017 - 00:00,29-Mar-2017 - 00:00,393.68,124.32,1.77,82.3,135.29,12.39,32.22,353,4
29-Mar-2017 - 00:00,30-Mar-2017 - 00:00,408.04,124.32,2.0,83.75,123.67,13.69,29.7,372,4
30-Mar-2017 - 00:00,31-Mar-2017 - 00:00,293.81,124.32,1.79,84.6,117.26,12.12,33.29,303,4
31-Mar-2017 - 00:00,01-Apr-2017 - 00:00,434.16,103.17,2.07,87.2,129.59,12.67,34.84,500,4
01-Apr-2017 - 00:00,02-Apr-2017 - 00:00,415.72,112.56,2.0,86.26,125.37,11.69,32.19,381,4
02-Apr-2017 - 00:00,03-Apr-2017 - 00:00,316.06,84.69,1.78,85.16,125.2,11.23,32.9,266,3
03-Apr-2017 - 00:00,04-Apr-2017 - 00:00,297.94,79.1,1.84,76.84,132.69,10.9,40.04,247,3
04-Apr-2017 - 00:00,05-Apr-2017 - 00:00,490.3,97.55,1.89,81.48,125.62,28.27,39.08,500,4
05-Apr-2017 - 00:00,06-Apr-2017 - 00:00,291.31,49.28,1.51,80.55,107.15,22.05,32.01,241,3
06-Apr-2017 - 00:00,07-Apr-2017 - 00:00,392.34,70.88,1.45,71.17,111.59,12.04,29.01,352,4
07-Apr-2017 - 00:00,08-Apr-2017 - 00:00,716.63,139.02,1.61,56.21,114.71,22.51,48.64,500,4
08-Apr-2017 - 00:00,09-Apr-2017 - 00:00,642.63,181.67,2.11,49.19,125.72,14.85,53.53,500,4
09-Apr-2017 - 00:00,10-Apr-2017 - 00:00,286.6,47.48,1.33,46.45,119.91,20.76,34.35,236,3
10-Apr-2017 - 00:00,11-Apr-2017 - 00:00,372.12,58.11,1.45,45.46,121.01,30.74,33.92,327,4
11-Apr-2017 - 00:00,12-Apr-2017 - 00:00,374.86,71.65,1.38,51.11,121.25,33.66,33.27,329,4
12-Apr-2017 - 00:00,13-Apr-2017 - 00:00,469.31,97.61,1.8,56.57,129.2,26.6,43.31,500,4
13-Apr-2017 - 00:00,14-Apr-2017 - 00:00,622.93,237.97,3.11,97.66,143.48,39.46,63.35,500,4
14-Apr-2017 - 00:00,15-Apr-2017 - 00:00,726.4,237.26,2.73,77.36,160.37,55.85,66.47,500,4
15-Apr-2017 - 00:00,16-Apr-2017 - 00:00,759.61,212.19,2.56,93.91,160.48,26.61,44.55,500,4
16-Apr-2017 - 00:00,17-Apr-2017 - 00:00,634.37,192.43,2.31,51.99,161.03,51.76,67.29,500,4
17-Apr-2017 - 00:00,18-Apr-2017 - 00:00,493.1,116.71,1.91,77.2,122.14,35.6,44.88,500,4
18-Apr-2017 - 00:00,19-Apr-2017 - 00:00,644.83,147.42,2.01,51.99,82.32,29.57,47.99,500,4
19-Apr-2017 - 00:00,20-Apr-2017 - 00:00,746.42,193.69,3.27,55.68,107.09,44.99,35.99,500,4
20-Apr-2017 - 00:00,21-Apr-2017 - 00:00,895.71,217.63,2.21,60.11,91.84,51.83,26.21,500,4
21-Apr-2017 - 00:00,22-Apr-2017 - 00:00,518.86,97.48,1.76,63.15,58.31,81.53,20.52,500,4
22-Apr-2017 - 00:00,23-Apr-2017 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
23-Apr-2017 - 00:00,24-Apr-2017 - 00:00,476.12,128.02,1.9,32.85,71.73,57.33,27.08,500,4
24-Apr-2017 - 00:00,25-Apr-2017 - 00:00,401.06,125.55,3.95,41.11,75.41,57.75,30.8,363,4
25-Apr-2017 - 00:00,26-Apr-2017 - 00:00,612.77,89.44,1.72,36.48,80.4,73.89,36.91,500,4
26-Apr-2017 - 00:00,27-Apr-2017 - 00:00,355.1,113.96,1.83,44.79,105.82,50.38,27.83,306,4
27-Apr-2017 - 00:00,28-Apr-2017 - 00:00,426.63,131.51,2.32,50.38,98.42,72.65,58.8,394,4
28-Apr-2017 - 00:00,29-Apr-2017 - 00:00,509.85,159.81,2.47,45.8,91.39,39.31,44.71,500,4
29-Apr-2017 - 00:00,30-Apr-2017 - 00:00,492.99,179.41,2.7,47.76,101.4,61.75,63.5,500,4
30-Apr-2017 - 00:00,01-May-2017 - 00:00,310.91,87.27,2.01,43.02,67.85,85.98,47.75,260,3
01-May-2017 - 00:00,02-May-2017 - 00:00,320.37,103.69,2.64,40.07,91.62,57.49,61.25,270,3
02-May-2017 - 00:00,03-May-2017 - 00:00,696.46,234.29,3.62,56.5,138.27,101.33,95.26,500,4
03-May-2017 - 00:00,04-May-2017 - 00:00,583.38,160.95,2.39,59.77,110.21,57.93,52.92,500,4
04-May-2017 - 00:00,05-May-2017 - 00:00,461.2,127.84,2.37,55.46,93.52,62.41,35.72,500,4
05-May-2017 - 00:00,06-May-2017 - 00:00,610.79,213.26,2.9,50.12,110.68,71.66,48.24,500,4
06-May-2017 - 00:00,07-May-2017 - 00:00,563.59,268.44,3.51,59.06,132.71,72.24,54.76,500,4
07-May-2017 - 00:00,08-May-2017 - 00:00,611.31,267.82,3.64,66.82,131.64,66.92,38.87,500,4
08-May-2017 - 00:00,09-May-2017 - 00:00,554.33,181.56,2.82,69.3,102.54,59.96,48.59,500,4
09-May-2017 - 00:00,10-May-2017 - 00:00,443.87,93.78,2.24,60.33,70.27,63.25,34.96,500,4
10-May-2017 - 00:00,11-May-2017 - 00:00,294.7,72.07,1.98,58.22,51.16,83.98,30.79,244,3
11-May-2017 - 00:00,12-May-2017 - 00:00,446.81,114.71,2.47,48.74,80.08,104.59,59.8,500,4
12-May-2017 - 00:00,13-May-2017 - 00:00,791.08,200.71,2.68,49.63,89.69,109.1,91.61,500,4
13-May-2017 - 00:00,14-May-2017 - 00:00,535.82,285.37,2.95,54.11,101.37,103.89,87.54,500,4
14-May-2017 - 00:00,15-May-2017 - 00:00,472.12,134.68,2.78,44.5,95.07,56.26,41.81,500,4
15-May-2017 - 00:00,16-May-2017 - 00:00,582.47,194.04,2.78,7.9,95.97,46.85,53.98,500,4
16-May-2017 - 00:00,17-May-2017 - 00:00,459.01,102.76,1.9,13.9,70.31,81.02,41.63,500,4
17-May-2017 - 00:00,18-May-2017 - 00:00,386.98,77.88,1.9,51.99,77.46,75.08,39.91,344,4
18-May-2017 - 00:00,19-May-2017 - 00:00,331.26,215.87,2.49,51.99,100.94,95.16,61.34,373,4
19-May-2017 - 00:00,20-May-2017 - 00:00,451.04,189.34,2.22,62.91,87.16,54.73,40.37,500,4
20-May-2017 - 00:00,21-May-2017 - 00:00,532.45,355.76,2.6,49.38,89.78,62.68,39.78,500,4
21-May-2017 - 00:00,22-May-2017 - 00:00,687.88,183.78,2.67,51.99,69.62,64.79,45.87,500,4
22-May-2017 - 00:00,23-May-2017 - 00:00,546.73,99.19,3.38,79.27,77.97,28.69,36.61,500,4
23-May-2017 - 00:00,24-May-2017 - 00:00,1008.45,177.29,3.87,94.19,87.31,35.58,24.94,500,4
24-May-2017 - 00:00,25-May-2017 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
25-May-2017 - 00:00,26-May-2017 - 00:00,506.39,91.09,3.63,88.3,103.43,29.5,51.87,500,4
26-May-2017 - 00:00,27-May-2017 - 00:00,409.62,103.39,1.81,79.11,92.25,79.33,41.63,373,4
27-May-2017 - 00:00,28-May-2017 - 00:00,361.17,53.25,2.09,72.46,66.04,70.41,27.3,313,4
28-May-2017 - 00:00,29-May-2017 - 00:00,141.01,36.64,1.84,68.42,57.98,62.77,28.82,127,2
29-May-2017 - 00:00,30-May-2017 - 00:00,154.71,46.95,1.7,66.99,71.99,37.29,23.48,136,2
30-May-2017 - 00:00,31-May-2017 - 00:00,244.9,60.51,2.26,77.62,80.26,62.18,13.2,196,2
31-May-2017 - 00:00,01-Jun-2017 - 00:00,182.6,63.54,2.27,89.26,85.83,38.68,5.4,154,2
01-Jun-2017 - 00:00,02-Jun-2017 - 00:00,463.49,110.88,2.64,74.34,119.82,80.64,9.63,500,4
02-Jun-2017 - 00:00,03-Jun-2017 - 00:00,628.26,142.56,2.61,79.72,155.3,52.49,13.15,500,4
03-Jun-2017 - 00:00,04-Jun-2017 - 00:00,685.92,141.93,2.53,88.39,156.24,53.97,15.56,500,4
04-Jun-2017 - 00:00,05-Jun-2017 - 00:00,697.83,125.17,2.31,90.46,140.91,37.77,17.25,500,4
05-Jun-2017 - 00:00,06-Jun-2017 - 00:00,378.99,62.22,1.82,58.39,76.39,12.66,10.72,334,4
06-Jun-2017 - 00:00,07-Jun-2017 - 00:00,352.87,76.22,1.49,74.95,83.82,21.23,9.64,302,4
07-Jun-2017 - 00:00,08-Jun-2017 - 00:00,336.17,41.11,1.31,85.86,91.4,27.22,18.0,286,3
16-Oct-2017 - 00:00 ,17-Oct-2017 - 00:00 ,392.86,124.32,4.31,95.77,124.67,15.54,23.83,352,4
17-Oct-2017 - 00:00 ,18-Oct-2017 - 00:00 ,392.86,124.32,3.22,95.58,141.85,16.49,17.85,352,4
18-Oct-2017 - 00:00 ,19-Oct-2017 - 00:00 ,392.86,124.32,3.52,100.37,112.4,20.22,21.53,352,4
19-Oct-2017 - 00:00 ,20-Oct-2017 - 00:00 ,392.86,124.32,3.36,96.58,91.32,36.5,22.18,352,4
20-Oct-2017 - 00:00 ,21-Oct-2017 - 00:00 ,392.86,124.32,3.63,104.41,123.08,55.2,45.51,352,4
21-Oct-2017 - 00:00 ,22-Oct-2017 - 00:00 ,392.86,124.32,4.97,122.33,127.16,38.06,24.17,352,4
22-Oct-2017 - 00:00 ,23-Oct-2017 - 00:00 ,392.86,124.32,3.12,93.96,108.05,43.58,19.04,352,4
23-Oct-2017 - 00:00 ,24-Oct-2017 - 00:00 ,706.79,213.05,3.96,86.19,124.59,48.83,30.85,500,4
24-Oct-2017 - 00:00 ,25-Oct-2017 - 00:00 ,592.67,229.54,3.68,105.58,137.68,36.74,20.49,500,4
25-Oct-2017 - 00:00 ,26-Oct-2017 - 00:00 ,706.75,272.25,3.62,106.5,152.02,43.81,24.0,500,4
26-Oct-2017 - 00:00 ,27-Oct-2017 - 00:00 ,715.79,267.88,4.38,120.18,136.91,68.84,24.94,500,4
27-Oct-2017 - 00:00 ,28-Oct-2017 - 00:00 ,448.04,211.12,3.2,85.93,95.37,31.21,20.6,500,4
28-Oct-2017 - 00:00 ,29-Oct-2017 - 00:00 ,517.38,268.79,3.24,91.8,122.36,40.45,39.63,500,4
29-Oct-2017 - 00:00 ,30-Oct-2017 - 00:00 ,458.04,248.0,2.2,95.22,103.77,56.88,32.33,500,4
30-Oct-2017 - 00:00 ,31-Oct-2017 - 00:00 ,690.04,284.0,3.7,103.14,113.7,51.49,27.81,500,4
31-Oct-2017 - 00:00 ,01-Nov-2017 - 00:00 ,486.54,264.12,3.05,79.86,90.42,37.99,25.42,500,4
01-Nov-2017 - 00:00 ,02-Nov-2017 - 00:00 ,181.45,91.46,2.35,38.63,39.77,11.94,13.01,201,3
02-Nov-2017 - 00:00 ,03-Nov-2017 - 00:00 ,331.31,184.79,1.71,86.98,63.31,29.23,20.81,349,4
03-Nov-2017 - 00:00 ,04-Nov-2017 - 00:00 ,166.87,87.26,1.14,43.57,39.79,89.69,14.65,189,2
04-Nov-2017 - 00:00 ,05-Nov-2017 - 00:00 ,539.54,261.96,3.38,83.97,81.55,92.96,34.69,500,4
05-Nov-2017 - 00:00 ,06-Nov-2017 - 00:00 ,645.12,315.67,3.96,101.29,110.23,108.02,28.24,500,4
06-Nov-2017 - 00:00 ,07-Nov-2017 - 00:00 ,555.83,345.21,4.07,107.4,107.19,77.59,28.6,500,4
07-Nov-2017 - 00:00 ,08-Nov-2017 - 00:00 ,440.0,611.08,4.54,137.15,118.38,56.24,16.09,500,4
08-Nov-2017 - 00:00 ,09-Nov-2017 - 00:00 ,392.86,788.6,5.24,142.39,133.1,65.5,22.79,500,4
09-Nov-2017 - 00:00 ,10-Nov-2017 - 00:00 ,392.86,571.33,5.61,99.32,161.34,78.67,15.6,500,4
10-Nov-2017 - 00:00 ,11-Nov-2017 - 00:00 ,329.0,496.68,3.9,111.66,150.19,98.57,19.83,500,4
11-Nov-2017 - 00:00 ,12-Nov-2017 - 00:00 ,392.86,547.24,5.6,108.31,143.83,98.63,13.41,500,4
12-Nov-2017 - 00:00 ,13-Nov-2017 - 00:00 ,392.86,641.89,4.82,101.16,101.97,81.71,17.26,500,4
13-Nov-2017 - 00:00 ,14-Nov-2017 - 00:00 ,392.86,518.04,4.83,109.89,104.38,59.92,15.49,500,4
14-Nov-2017 - 00:00 ,15-Nov-2017 - 00:00 ,392.86,316.96,3.53,88.49,83.05,14.63,15.83,500,4
15-Nov-2017 - 00:00 ,16-Nov-2017 - 00:00 ,282.8,250.62,3.5,70.93,85.43,16.31,20.61,400,4
16-Nov-2017 - 00:00 ,17-Nov-2017 - 00:00 ,340.67,249.71,1.9,84.17,103.23,36.08,24.83,399,4
17-Nov-2017 - 00:00 ,18-Nov-2017 - 00:00 ,304.09,186.45,2.29,75.91,87.9,17.91,19.67,350,4
18-Nov-2017 - 00:00 ,19-Nov-2017 - 00:00 ,340.17,159.18,1.61,66.84,114.62,20.11,16.92,330,4
19-Nov-2017 - 00:00 ,20-Nov-2017 - 00:00 ,275.88,152.75,2.04,57.35,96.74,19.49,22.9,324,4
20-Nov-2017 - 00:00 ,21-Nov-2017 - 00:00 ,304.25,194.04,2.04,51.34,113.83,17.07,16.89,357,4
21-Nov-2017 - 00:00 ,22-Nov-2017 - 00:00 ,324.67,229.5,2.85,59.81,131.88,37.63,17.61,383,4
22-Nov-2017 - 00:00 ,23-Nov-2017 - 00:00 ,296.25,252.75,2.87,66.68,134.31,31.48,17.03,500,4
23-Nov-2017 - 00:00 ,24-Nov-2017 - 00:00 ,274.33,230.83,2.89,67.65,145.86,28.66,18.12,384,4
24-Nov-2017 - 00:00 ,25-Nov-2017 - 00:00 ,392.86,304.38,3.42,81.16,161.75,32.32,14.04,500,4
25-Nov-2017 - 00:00 ,26-Nov-2017 - 00:00 ,392.86,266.17,3.29,89.97,173.43,31.83,17.48,500,4
26-Nov-2017 - 00:00 ,27-Nov-2017 - 00:00 ,628.24,308.54,4.19,94.64,193.0,40.66,18.05,500,4
27-Nov-2017 - 00:00 ,28-Nov-2017 - 00:00 ,611.73,275.36,3.06,112.45,181.47,23.89,17.71,500,4
28-Nov-2017 - 00:00 ,29-Nov-2017 - 00:00 ,532.92,278.04,4.1,116.15,177.25,29.67,17.13,500,4
29-Nov-2017 - 00:00 ,30-Nov-2017 - 00:00 ,520.11,356.29,5.62,125.84,147.85,118.79,22.06,500,4
30-Nov-2017 - 00:00 ,01-Dec-2017 - 00:00 ,612.62,339.25,3.71,110.89,136.62,67.3,19.7,500,4
01-Dec-2017 - 00:00 ,02-Dec-2017 - 00:00 ,668.95,299.88,3.5,106.43,153.53,61.09,18.42,500,4
02-Dec-2017 - 00:00 ,03-Dec-2017 - 00:00 ,836.57,418.12,2.97,119.17,194.78,71.78,15.45,500,4
03-Dec-2017 - 00:00 ,04-Dec-2017 - 00:00 ,757.35,424.71,3.96,119.63,150.57,59.68,17.23,500,4
04-Dec-2017 - 00:00 ,05-Dec-2017 - 00:00 ,837.11,463.33,4.44,123.3,166.63,58.62,18.79,500,4
05-Dec-2017 - 00:00 ,06-Dec-2017 - 00:00 ,661.92,357.62,4.4,63.57,109.9,38.3,22.29,500,4
06-Dec-2017 - 00:00 ,07-Dec-2017 - 00:00 ,308.29,140.25,1.96,69.23,88.32,25.78,28.0,315,4
07-Dec-2017 - 00:00 ,08-Dec-2017 - 00:00 ,297.54,97.96,2.79,52.09,88.62,25.54,21.92,247,3
08-Dec-2017 - 00:00 ,09-Dec-2017 - 00:00 ,367.99,155.18,4.28,56.18,113.79,25.09,24.93,327,4
09-Dec-2017 - 00:00 ,10-Dec-2017 - 00:00 ,513.0,313.58,3.51,76.02,149.19,36.29,22.71,500,4
10-Dec-2017 - 00:00 ,11-Dec-2017 - 00:00 ,407.75,396.04,4.25,91.43,138.49,49.72,16.83,500,4
11-Dec-2017 - 00:00 ,12-Dec-2017 - 00:00 ,549.17,356.74,3.51,112.55,121.36,45.97,20.08,500,4
12-Dec-2017 - 00:00 ,13-Dec-2017 - 00:00 ,213.0,145.38,2.34,104.32,80.59,30.42,21.62,319,4
13-Dec-2017 - 00:00 ,14-Dec-2017 - 00:00 ,342.08,175.04,2.46,82.26,71.66,27.23,19.89,342,4
14-Dec-2017 - 00:00 ,15-Dec-2017 - 00:00 ,321.08,184.76,2.29,78.75,66.93,24.66,19.24,349,4
15-Dec-2017 - 00:00 ,16-Dec-2017 - 00:00 ,341.82,197.41,2.39,57.99,61.97,24.03,20.71,359,4
16-Dec-2017 - 00:00 ,17-Dec-2017 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
17-Dec-2017 - 00:00 ,18-Dec-2017 - 00:00 ,331.59,118.95,2.02,60.9,92.07,28.55,26.66,293,3
18-Dec-2017 - 00:00 ,19-Dec-2017 - 00:00 ,346.04,181.58,1.97,69.9,98.25,20.44,26.82,347,4
19-Dec-2017 - 00:00 ,20-Dec-2017 - 00:00 ,442.1,267.76,1.82,93.88,123.6,17.24,32.59,500,4
20-Dec-2017 - 00:00 ,21-Dec-2017 - 00:00 ,700.57,441.17,2.76,134.87,125.51,26.61,23.52,500,4
21-Dec-2017 - 00:00 ,22-Dec-2017 - 00:00 ,653.75,417.17,2.47,119.59,117.23,19.45,29.58,500,4
22-Dec-2017 - 00:00 ,23-Dec-2017 - 00:00 ,382.93,201.62,1.41,79.46,99.22,16.37,26.84,362,4
23-Dec-2017 - 00:00 ,24-Dec-2017 - 00:00 ,286.25,171.62,3.49,69.43,116.45,19.07,28.39,339,4
24-Dec-2017 - 00:00 ,25-Dec-2017 - 00:00 ,518.75,358.52,3.42,121.19,153.13,21.68,25.96,500,4
25-Dec-2017 - 00:00 ,26-Dec-2017 - 00:00 ,543.52,380.62,3.06,108.73,121.21,19.43,24.26,500,4
26-Dec-2017 - 00:00 ,27-Dec-2017 - 00:00 ,480.0,329.96,3.35,118.76,164.49,20.41,29.21,500,4
27-Dec-2017 - 00:00 ,28-Dec-2017 - 00:00 ,413.56,374.82,2.96,146.47,161.46,23.49,24.63,500,4
28-Dec-2017 - 00:00 ,29-Dec-2017 - 00:00 ,560.17,340.92,2.85,148.96,142.21,19.56,29.11,500,4
29-Dec-2017 - 00:00 ,30-Dec-2017 - 00:00 ,530.96,309.92,3.4,138.53,126.6,18.53,36.31,500,4
30-Dec-2017 - 00:00 ,31-Dec-2017 - 00:00 ,598.91,403.67,3.41,152.59,134.27,17.13,22.09,500,4
31-Dec-2017 - 00:00 ,01-Jan-2018 - 00:00 ,665.05,531.92,3.56,145.6,131.62,20.43,22.75,500,4
01-Jan-2018 - 00:00 ,02-Jan-2018 - 00:00 ,520.41,481.62,3.38,115.81,89.52,27.43,21.63,500,4
02-Jan-2018 - 00:00 ,03-Jan-2018 - 00:00 ,470.33,359.67,3.63,78.95,83.81,33.64,23.5,500,4
03-Jan-2018 - 00:00 ,04-Jan-2018 - 00:00 ,488.92,287.71,1.82,72.81,86.46,28.9,20.49,500,4
04-Jan-2018 - 00:00 ,05-Jan-2018 - 00:00 ,555.96,351.62,1.15,72.87,92.6,35.19,21.87,500,4
05-Jan-2018 - 00:00 ,06-Jan-2018 - 00:00 ,416.21,306.25,2.03,62.04,81.87,28.93,21.62,500,4
06-Jan-2018 - 00:00 ,07-Jan-2018 - 00:00 ,595.17,324.75,3.55,94.99,123.85,22.31,22.36,500,4
07-Jan-2018 - 00:00 ,08-Jan-2018 - 00:00 ,466.5,242.08,2.72,87.33,104.15,15.38,21.57,500,4
08-Jan-2018 - 00:00 ,09-Jan-2018 - 00:00 ,422.59,175.05,3.23,84.3,127.82,15.21,23.48,389,4
09-Jan-2018 - 00:00 ,10-Jan-2018 - 00:00 ,433.52,375.22,3.55,114.02,138.44,16.32,23.48,500,4
10-Jan-2018 - 00:00 ,11-Jan-2018 - 00:00 ,483.12,245.79,2.73,77.56,108.89,18.2,22.99,500,4
11-Jan-2018 - 00:00 ,12-Jan-2018 - 00:00 ,419.17,203.12,4.47,88.39,106.34,19.62,23.31,386,4
12-Jan-2018 - 00:00 ,13-Jan-2018 - 00:00 ,444.74,231.46,2.32,95.35,127.68,21.1,30.28,500,4
13-Jan-2018 - 00:00 ,14-Jan-2018 - 00:00 ,502.58,388.08,4.66,118.6,138.17,20.06,24.98,500,4
14-Jan-2018 - 00:00 ,15-Jan-2018 - 00:00 ,562.89,302.62,2.49,86.04,122.85,22.32,24.83,500,4
15-Jan-2018 - 00:00 ,16-Jan-2018 - 00:00 ,515.83,240.96,1.84,78.1,101.49,21.87,20.95,500,4
16-Jan-2018 - 00:00 ,17-Jan-2018 - 00:00 ,289.67,164.95,2.05,66.97,112.71,26.2,27.99,334,4
17-Jan-2018 - 00:00 ,18-Jan-2018 - 00:00 ,402.21,294.38,1.2,88.01,72.23,23.55,17.61,500,4
18-Jan-2018 - 00:00 ,19-Jan-2018 - 00:00 ,627.43,451.83,3.9,107.58,143.52,24.85,33.11,500,4
19-Jan-2018 - 00:00 ,20-Jan-2018 - 00:00 ,525.36,409.32,2.34,150.06,149.9,21.02,21.69,500,4
20-Jan-2018 - 00:00 ,21-Jan-2018 - 00:00 ,346.73,235.55,1.52,118.31,109.46,18.53,22.79,388,4
21-Jan-2018 - 00:00 ,22-Jan-2018 - 00:00 ,390.09,183.85,2.67,84.37,158.76,59.94,34.09,349,4
22-Jan-2018 - 00:00 ,23-Jan-2018 - 00:00 ,493.14,247.94,2.9,118.45,122.84,48.28,29.78,500,4
23-Jan-2018 - 00:00 ,24-Jan-2018 - 00:00 ,322.72,196.4,2.09,87.94,86.8,18.71,24.86,358,4
24-Jan-2018 - 00:00 ,25-Jan-2018 - 00:00 ,239.81,162.97,2.08,65.33,72.06,22.81,25.29,332,4
25-Jan-2018 - 00:00 ,26-Jan-2018 - 00:00 ,132.27,76.21,10.11,29.87,363.16,24.385,10.92,369,4
26-Jan-2018 - 00:00 ,27-Jan-2018 - 00:00 ,287.04,191.67,2.61,53.83,80.82,24.385,16.85,354,4
27-Jan-2018 - 00:00 ,28-Jan-2018 - 00:00 ,412.38,223.46,3.51,39.67,181.77,9.1,15.08,379,4
28-Jan-2018 - 00:00 ,29-Jan-2018 - 00:00 ,396.29,235.79,2.99,48.52,158.11,8.1,15.77,388,4
29-Jan-2018 - 00:00 ,30-Jan-2018 - 00:00 ,434.71,242.21,3.74,33.69,303.2,3.7,12.75,500,4
30-Jan-2018 - 00:00 ,31-Jan-2018 - 00:00 ,299.08,134.25,3.67,45.87,145.51,24.385,18.55,310,4
31-Jan-2018 - 00:00 ,01-Feb-2018 - 00:00 ,316.0,144.0,5.16,40.18,154.39,24.385,14.99,318,4
01-Feb-2018 - 00:00 ,02-Feb-2018 - 00:00 ,448.75,193.92,4.09,40.08,336.89,31.63,13.67,500,4
02-Feb-2018 - 00:00 ,03-Feb-2018 - 00:00 ,331.54,129.08,2.28,46.6,232.83,5.2,16.41,307,4
