From Date,To Date,PM10 (ug/m3),PM2.5 (ug/m3),CO (mg/m3),NH3 (ug/m3),NO2 (ug/m3),Ozone (ug/m3),SO2 (ug/m3),Air_Quality_Index(AQI),AQI Category
14-Sep-2015 - 00:00,15-Sep-2015 - 00:00,438.11,145.92,1.46,37.53,76.29,48.25,14.82,500,4
15-Sep-2015 - 00:00,16-Sep-2015 - 00:00,378.15,119.58,1.55,38.72,62.87,18.04,15.65,334,4
16-Sep-2015 - 00:00,17-Sep-2015 - 00:00,360.26,104.56,1.36,41.99,53.01,39.43,17.73,312,4
17-Sep-2015 - 00:00,18-Sep-2015 - 00:00,541.34,102.52,1.38,48.96,64.72,37.87,33.24,500,4
18-Sep-2015 - 00:00,19-Sep-2015 - 00:00,261.18,61.57,0.9,42.41,35.74,13.07,14.22,211,3
19-Sep-2015 - 00:00,20-Sep-2015 - 00:00,355.54,91.36,1.14,48.21,42.93,44.8,15.96,306,4
20-Sep-2015 - 00:00,21-Sep-2015 - 00:00,367.03,78.24,1.01,52.41,41.62,37.07,12.48,321,4
21-Sep-2015 - 00:00,22-Sep-2015 - 00:00,292.99,54.87,0.95,36.98,49.61,39.29,33.08,242,3
22-Sep-2015 - 00:00,23-Sep-2015 - 00:00,136.74,32.85,0.95,33.89,38.56,26.54,44.04,124,2
23-Sep-2015 - 00:00,24-Sep-2015 - 00:00,378.47,37.53,0.87,28.0,42.72,30.49,28.24,334,4
24-Sep-2015 - 00:00,25-Sep-2015 - 00:00,769.96,91.36,1.32,26.55,69.6,34.13,18.11,500,4
25-Sep-2015 - 00:00,26-Sep-2015 - 00:00,782.84,98.92,1.23,38.89,72.62,31.52,20.84,500,4
26-Sep-2015 - 00:00,27-Sep-2015 - 00:00,702.82,104.2,1.33,48.84,66.47,32.13,19.72,500,4
27-Sep-2015 - 00:00,28-Sep-2015 - 00:00,629.43,106.14,1.3,48.66,64.44,57.27,15.93,500,4
28-Sep-2015 - 00:00,29-Sep-2015 - 00:00,440.69,74.01,1.25,37.72,59.48,33.05,19.26,500,4
29-Sep-2015 - 00:00,30-Sep-2015 - 00:00,386.31,75.73,1.15,34.5,63.52,39.46,19.46,344,4
30-Sep-2015 - 00:00,01-Oct-2015 - 00:00,345.0,65.33,1.15,27.34,60.69,46.38,15.08,295,3
01-Oct-2015 - 00:00,02-Oct-2015 - 00:00,455.17,91.14,1.37,30.65,82.13,37.06,24.33,500,4
02-Oct-2015 - 00:00,03-Oct-2015 - 00:00,471.74,97.71,1.36,38.19,84.18,41.96,15.81,500,4
03-Oct-2015 - 00:00,04-Oct-2015 - 00:00,553.3,115.95,1.71,39.01,93.08,34.18,17.06,500,4
04-Oct-2015 - 00:00,05-Oct-2015 - 00:00,630.77,187.12,2.16,56.71,86.16,59.48,33.72,500,4
05-Oct-2015 - 00:00,06-Oct-2015 - 00:00,707.19,285.35,3.16,74.14,109.77,59.8,23.6,500,4
06-Oct-2015 - 00:00,07-Oct-2015 - 00:00,726.42,197.59,1.37,74.81,90.88,45.3,17.9,500,4
07-Oct-2015 - 00:00,08-Oct-2015 - 00:00,565.73,156.92,1.53,55.47,73.5,33.29,20.71,500,4
08-Oct-2015 - 00:00,09-Oct-2015 - 00:00,610.9,192.27,1.45,42.9,76.47,33.49,22.99,500,4
09-Oct-2015 - 00:00,10-Oct-2015 - 00:00,654.64,202.44,2.53,45.84,97.15,41.6,31.95,500,4
10-Oct-2015 - 00:00,11-Oct-2015 - 00:00,846.3,277.19,2.8,58.79,89.36,23.77,29.46,500,4
11-Oct-2015 - 00:00,12-Oct-2015 - 00:00,634.84,174.52,2.21,66.5,73.86,27.82,26.05,500,4
12-Oct-2015 - 00:00,13-Oct-2015 - 00:00,627.37,165.44,2.33,67.52,76.71,29.48,33.28,500,4
13-Oct-2015 - 00:00,14-Oct-2015 - 00:00,320.79,104.96,1.44,57.98,49.33,20.08,13.07,270,3
14-Oct-2015 - 00:00,15-Oct-2015 - 00:00,293.67,84.21,1.44,42.06,58.74,29.25,8.72,243,3
15-Oct-2015 - 00:00,16-Oct-2015 - 00:00,456.88,128.66,1.72,51.07,85.06,35.13,10.4,500,4
16-Oct-2015 - 00:00,17-Oct-2015 - 00:00,607.04,187.88,1.69,65.83,100.01,37.01,19.11,500,4
17-Oct-2015 - 00:00,18-Oct-2015 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
18-Oct-2015 - 00:00,19-Oct-2015 - 00:00,551.69,207.81,2.17,47.51,104.05,49.51,18.85,500,4
19-Oct-2015 - 00:00,20-Oct-2015 - 00:00,671.17,233.43,2.28,46.32,75.73,47.95,50.31,500,4
20-Oct-2015 - 00:00,21-Oct-2015 - 00:00,744.44,272.21,2.11,61.02,96.26,47.41,39.0,500,4
21-Oct-2015 - 00:00,22-Oct-2015 - 00:00,528.38,206.15,1.61,53.65,81.41,28.85,38.4,500,4
22-Oct-2015 - 00:00,23-Oct-2015 - 00:00,535.68,125.19,1.77,25.57,87.69,36.65,46.33,500,4
23-Oct-2015 - 00:00,24-Oct-2015 - 00:00,557.84,181.4,2.47,37.7,99.3,28.02,50.48,500,4
24-Oct-2015 - 00:00,25-Oct-2015 - 00:00,603.59,245.74,2.27,46.52,103.95,41.27,18.98,500,4
25-Oct-2015 - 00:00,26-Oct-2015 - 00:00,460.77,177.02,1.58,38.05,61.37,54.5,18.98,500,4
26-Oct-2015 - 00:00,27-Oct-2015 - 00:00,419.5,130.49,1.78,28.17,51.88,44.51,43.06,386,4
27-Oct-2015 - 00:00,28-Oct-2015 - 00:00,541.4,130.22,1.63,30.98,55.04,25.38,38.97,500,4
28-Oct-2015 - 00:00,29-Oct-2015 - 00:00,522.79,132.86,1.56,23.49,43.65,34.72,38.85,500,4
29-Oct-2015 - 00:00,30-Oct-2015 - 00:00,339.97,117.94,1.68,22.04,44.29,44.86,44.56,289,3
30-Oct-2015 - 00:00,31-Oct-2015 - 00:00,331.27,121.02,1.55,22.87,36.77,38.95,99.93,301,4
31-Oct-2015 - 00:00,01-Nov-2015 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
01-Nov-2015 - 00:00,02-Nov-2015 - 00:00,609.39,248.86,2.32,28.74,55.29,24.385,46.09,500,4
02-Nov-2015 - 00:00,03-Nov-2015 - 00:00,597.89,285.62,2.12,26.92,31.77,27.17,54.57,500,4
03-Nov-2015 - 00:00,04-Nov-2015 - 00:00,593.91,360.54,2.25,42.08,74.69,36.56,51.46,500,4
04-Nov-2015 - 00:00,05-Nov-2015 - 00:00,607.78,405.7,2.9,79.44,114.94,54.6,33.3,500,4
05-Nov-2015 - 00:00,06-Nov-2015 - 00:00,359.51,183.62,1.39,72.97,74.67,48.2,29.8,348,4
06-Nov-2015 - 00:00,07-Nov-2015 - 00:00,476.21,183.58,1.74,70.1,80.82,22.95,26.09,500,4
07-Nov-2015 - 00:00,08-Nov-2015 - 00:00,835.74,483.17,1.95,92.03,116.34,24.99,22.58,500,4
08-Nov-2015 - 00:00,09-Nov-2015 - 00:00,587.65,257.09,2.01,62.59,88.72,23.9,46.43,500,4
09-Nov-2015 - 00:00,10-Nov-2015 - 00:00,637.51,306.27,2.34,72.29,97.78,60.64,54.87,500,4
10-Nov-2015 - 00:00,11-Nov-2015 - 00:00,871.95,347.05,2.19,96.18,119.6,27.69,35.76,500,4
11-Nov-2015 - 00:00,12-Nov-2015 - 00:00,744.98,261.01,2.06,66.08,78.09,28.69,54.37,500,4
12-Nov-2015 - 00:00,13-Nov-2015 - 00:00,753.91,397.74,2.53,46.77,77.46,24.75,46.06,500,4
13-Nov-2015 - 00:00,14-Nov-2015 - 00:00,995.9,453.84,2.38,34.66,30.33,21.13,28.95,500,4
14-Nov-2015 - 00:00,15-Nov-2015 - 00:00,932.54,332.7,2.52,13.33,5.51,20.69,27.59,500,4
15-Nov-2015 - 00:00,16-Nov-2015 - 00:00,972.28,365.48,3.44,7.49,82.32,26.35,31.36,500,4
16-Nov-2015 - 00:00,17-Nov-2015 - 00:00,848.08,289.89,3.08,47.11,110.62,21.84,20.71,500,4
17-Nov-2015 - 00:00,18-Nov-2015 - 00:00,602.2,180.72,2.41,62.02,88.38,28.26,19.82,500,4
18-Nov-2015 - 00:00,19-Nov-2015 - 00:00,752.03,316.04,2.86,83.77,140.46,25.55,24.0,500,4
19-Nov-2015 - 00:00,20-Nov-2015 - 00:00,1087.23,387.08,3.68,95.78,160.54,35.6,36.85,500,4
20-Nov-2015 - 00:00,21-Nov-2015 - 00:00,873.15,361.0,4.5,108.15,143.77,34.23,36.42,500,4
21-Nov-2015 - 00:00,22-Nov-2015 - 00:00,1127.89,477.25,4.4,133.65,188.7,30.56,18.96,500,4
22-Nov-2015 - 00:00,23-Nov-2015 - 00:00,1086.01,359.94,4.45,120.11,137.57,34.75,15.54,500,4
23-Nov-2015 - 00:00,24-Nov-2015 - 00:00,1789.38,321.31,5.94,119.25,118.17,40.77,22.48,500,4
24-Nov-2015 - 00:00,25-Nov-2015 - 00:00,1248.39,361.2,3.09,92.98,106.02,42.49,17.0,500,4
25-Nov-2015 - 00:00,26-Nov-2015 - 00:00,748.21,207.18,2.34,33.46,35.9,25.3,19.17,500,4
26-Nov-2015 - 00:00,27-Nov-2015 - 00:00,970.94,303.63,2.58,14.84,8.9,22.45,23.79,500,4
27-Nov-2015 - 00:00,28-Nov-2015 - 00:00,884.99,290.82,2.18,61.7,104.63,19.86,21.24,500,4
28-Nov-2015 - 00:00,29-Nov-2015 - 00:00,418.22,228.28,1.84,96.51,51.83,27.7,16.65,384,4
